ext-ms-win-appmodel-appcontainerpath-l1-1-0.dll,
ext-ms-win-appmodel-appexecutionalias-l1-1-2.dll,apisethost.appexecutionalias.dll
ext-ms-win-appmodel-datasharingservice-extensions-l1-1-0.dll,
ext-ms-win-appmodel-daxcore-l1-1-3.dll,daxexec.dll
ext-ms-win-appmodel-deployment-l1-1-1.dll,
ext-ms-win-appmodel-deploymentvolumes-l1-1-1.dll,
ext-ms-win-appmodel-opc-l1-1-0.dll,opcservices.dll
ext-ms-win-appmodel-restrictedappcontainer-internal-l1-1-0.dll,kernel.appcore.dll
ext-ms-win-appmodel-state-ext-l1-2-0.dll,kernel.appcore.dll
ext-ms-win-appmodel-usercontext-l1-1-0.dll,
ext-ms-win-appmodel-viewscalefactor-l1-1-0.dll,
ext-ms-win-appxdeploymentclient-appxdeploy-l1-1-1.dll,appxdeploymentclient.dll
ext-ms-win-appxdeploymentclient-appxdeployonecore-l1-1-1.dll,appxdeploymentclient.dll
ext-ms-win-audiocore-coreaudiopolicymanager-l1-1-0.dll,coreaudiopolicymanagerext.dll
ext-ms-win-audiocore-pal-l1-2-0.dll,
ext-ms-win-audiocore-policymanager-l1-1-0.dll,
ext-ms-win-audiocore-spatial-l1-1-0.dll,
ext-ms-win-authz-claimpolicies-l1-1-0.dll,authz.dll
ext-ms-win-authz-context-l1-1-0.dll,authz.dll
ext-ms-win-authz-remote-l1-1-0.dll,logoncli.dll
